Name,Caliber,Min DMG,Max DMG,DMG type,Burst,Burst only,Penetrate
10mm pistol,10mm,5,12,,,,
10mm SMG,10mm,5,12,,10,,
Hunting rifle,.223,8,20,,,,
Flamer,Flamer,45,90,fire,,,
Minigun,5mm,9,13,,40,true,
Rocket launcher,Rocket,45,130,explosive,,,
Plasma rifle,MFC,30,65,plasma,,,
Laser pistol,SEC,10,22,laser,,,
Desert Eagle .44,.44,10,16,,,,
14mm pistol,14mm,18,28,,,,
Assault rifle,5mm,8,16,,8,,
Plasma pistol,SEC,15,35,plasma,,,
Gatling laser,MFC,20,40,laser,10,true,
Shotgun,12ga,12,22,,,,
Laser rifle,MFC,25,50,laser,,,
Alien blaster,SEC,30,90,electrical,,,
9mm Mauser,9mm,5,10,,,,
Sniper rifle,.223,14,34,,,,
Red Ryder BB gun,BBs,1,3,,,,
Red Ryder LE BB gun,BBs,25,25,,,,
Turbo plasma rifle,MFC,35,70,plasma,,,
.223 pistol,.223,20,30,,,,true
Combat shotgun,12ga,15,25,,3,,
H&K CAWS,12ga,15,25,,5,,
Tommy gun,.45,3,20,,10,,
Scoped Hunting rifle,.223,8,20,,,,
H&K P90c,10mm,12,16,,12,,
Pipe rifle,10mm,5,12,,,,
Zip gun,10mm,5,12,,,,
.44 Magnum revolver,.44,12,18,,,,
M3A1 Grease Gun SMG,.45,10,20,,8,,
Bozar,.223,25,35,,15,true,
FN FAL,7.62mm,9,18,,10,,
H&K G11,4.7mm,16,26,,5,,
XL70E3,5mm,12,19,,8,,
Pancor Jackhammer,12ga,18,29,,5,,
Light support weapon,.223,20,30,,10,true,
Sawed-off shotgun,12ga,12,24,,,,
M60,7.62mm,18,26,,10,true,
Needler pistol,Needler,18,28,,,,true
Avenger minigun,5mm,12,16,,40,true,
H&K G11E,4.7mm,20,30,,7,,
Gauss rifle,2mm,46,68,,,,
Gauss pistol,2mm,36,46,,,,
Vindicator minigun,4.7mm,20,30,,25,true,
Pulse pistol,SEC,32,46,electrical,,,true
Pulse rifle,MFC,54,78,electrical,,,true
Improved Flamer,Flamer,45,90,fire,,,
Magneto-laser pistol,SEC,10,22,laser,,,true
FN FAL HPFA,7.62mm,11,22,,20,,
